link,company_job,Experience,No_of_salary,No_of_salary1,average_salary,average_bonus,salary_range,Salary_25,Salary_75
"https://www.glassdoor.co.in/Salary/Fractal-Data-Scientist-Salaries-E270403_D_KO8,22.htm?experienceLevel=ONE_TO_THREE",Fractal Data Scientist Salaries,1-3 Years,32 Salaries,32,"₹ 15,00,000","Additional Pay Average: ₹ 1,51,533","₹817K ₹2,113K","₹1,181K 25%","₹1,824K 75%"
"https://www.glassdoor.co.in/Salary/Fractal-Data-Scientist-Salaries-E270403_D_KO8,22.htm?experienceLevel=FOUR_TO_SIX",Fractal Data Scientist Salaries,4-6 Years,4 Salaries,4,"₹ 13,10,702","Additional Pay Average: ₹ 2,03,058","₹947K ₹2,000K","₹1,011K 25%","₹1,855K 75%"
"https://www.glassdoor.co.in/Salary/Fractal-Data-Scientist-Salaries-E270403_D_KO8,22.htm?experienceLevel=SEVEN_TO_NINE",Fractal Data Scientist Salaries,7-9 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Fractal-Data-Scientist-Salaries-E270403_D_KO8,22.htm?experienceLevel=TEN_TO_FOURTEEN",Data Scientist Salaries,10-14 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Fractal-Data-Scientist-Salaries-E270403_D_KO8,22.htm?experienceLevel=ABOVE_FIFTEEN",Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Capgemini-Data-Scientist-Salaries-E3803_D_KO10,24.htm?experienceLevel=LESS_THAN_ONE",Capgemini Data Scientist Salaries,0-1 Years,8 Salaries,8,"₹ 8,68,693",NA,"₹305K ₹1,078K",₹664K 25%,"₹1,042K 75%"
"https://www.glassdoor.co.in/Salary/Capgemini-Data-Scientist-Salaries-E3803_D_KO10,24.htm?experienceLevel=ONE_TO_THREE",Capgemini Data Scientist Salaries,1-3 Years,20 Salaries,20,"₹ 7,42,474",NA,"₹358K ₹1,817K",₹510K 25%,"₹1,035K 75%"
"https://www.glassdoor.co.in/Salary/Capgemini-Data-Scientist-Salaries-E3803_D_KO10,24.htm?experienceLevel=FOUR_TO_SIX",Capgemini Data Scientist Salaries,4-6 Years,6 Salaries,6,"₹ 9,60,000",NA,"₹540K ₹5,534K",₹713K 25%,"₹2,218K 75%"
"https://www.glassdoor.co.in/Salary/Capgemini-Data-Scientist-Salaries-E3803_D_KO10,24.htm?experienceLevel=SEVEN_TO_NINE",Capgemini Data Scientist Salaries,7-9 Years,3 Salaries,3,"₹ 9,50,326 - ₹ 14,00,000",NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Capgemini-Data-Scientist-Salaries-E3803_D_KO10,24.htm?experienceLevel=TEN_TO_FOURTEEN",Capgemini Data Scientist Salaries,10-14 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Capgemini-Data-Scientist-Salaries-E3803_D_KO10,24.htm?experienceLevel=ABOVE_FIFTEEN",Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-Salaries-E6036_D_KO7,21.htm?experienceLevel=LESS_THAN_ONE",Amazon Data Scientist Salaries,0-1 Years,14 Salaries,14,"₹ 9,00,000","Additional Pay Average: ₹ 6,00,000","₹600K ₹1,900K",₹620K 25%,"₹1,315K 75%"
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-Salaries-E6036_D_KO7,21.htm?experienceLevel=ONE_TO_THREE",Amazon Data Scientist Salaries,1-3 Years,15 Salaries,15,"₹ 10,46,377","Additional Pay Average: ₹ 3,81,157","₹605K ₹2,852K",₹914K 25%,"₹1,673K 75%"
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-Salaries-E6036_D_KO7,21.htm?experienceLevel=FOUR_TO_SIX",Amazon Data Scientist Salaries,4-6 Years,6 Salaries,6,"₹ 22,02,229","Additional Pay Average: ₹ 5,49,679","₹255K ₹4,397K","₹1,301K 25%","₹3,634K 75%"
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-Salaries-E6036_D_KO7,21.htm?experienceLevel=SEVEN_TO_NINE",Amazon Data Scientist Salaries,7-9 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-Salaries-E6036_D_KO7,21.htm?experienceLevel=TEN_TO_FOURTEEN",Amazon Data Scientist Salaries,10-14 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Amazon-Data-Scientist-Salaries-E6036_D_KO7,21.htm?experienceLevel=ABOVE_FIFTEEN",Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Ericsson-Worldwide-Data-Scientist-Salaries-E3472_D_KO19,33.htm?experienceLevel=LESS_THAN_ONE",Ericsson-Worldwide Data Scientist Salaries,0-1 Years,5 Salaries,5,"₹ 5,48,256","Additional Pay Average: ₹ 84,654",₹303K ₹741K,₹403K 25%,₹702K 75%
"https://www.glassdoor.co.in/Salary/Ericsson-Worldwide-Data-Scientist-Salaries-E3472_D_KO19,33.htm?experienceLevel=ONE_TO_THREE",Ericsson-Worldwide Data Scientist Salaries,1-3 Years,12 Salaries,12,"₹ 6,44,826","Additional Pay Average: ₹ 1,05,592","₹355K ₹1,613K",₹438K 25%,"₹1,406K 75%"
"https://www.glassdoor.co.in/Salary/Ericsson-Worldwide-Data-Scientist-Salaries-E3472_D_KO19,33.htm?experienceLevel=FOUR_TO_SIX",Ericsson-Worldwide Data Scientist Salaries,4-6 Years,7 Salaries,7,"₹ 9,60,000","Additional Pay Average: ₹ 1,18,350","₹735K ₹1,632K",₹895K 25%,"₹1,584K 75%"
"https://www.glassdoor.co.in/Salary/Ericsson-Worldwide-Data-Scientist-Salaries-E3472_D_KO19,33.htm?experienceLevel=SEVEN_TO_NINE",Ericsson-Worldwide Data Scientist Salaries,7-9 Years,2 Salaries,2,"₹ 7,97,346 - ₹ 21,22,096",NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Ericsson-Worldwide-Data-Scientist-Salaries-E3472_D_KO19,33.htm?experienceLevel=TEN_TO_FOURTEEN",Ericsson-Worldwide Data Scientist Salaries,10-14 Years,5 Salaries,5,"₹ 28,59,671","Additional Pay Average: ₹ 2,43,260","₹1,194K ₹3,508K","₹1,194K 25%","₹3,275K 75%"
"https://www.glassdoor.co.in/Salary/Ericsson-Worldwide-Data-Scientist-Salaries-E3472_D_KO19,33.htm?experienceLevel=ABOVE_FIFTEEN",Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Science-Associate-Salaries-E115506_D_KO14,36.htm?experienceLevel=LESS_THAN_ONE",ZS Associates Data Science Associate Salaries,0-1 Years,20 Salaries,20,"₹ 11,19,652","Additional Pay Average: ₹ 1,53,066","₹1,009K ₹1,895K","₹1,029K 25%","₹1,277K 75%"
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Science-Associate-Salaries-E115506_D_KO14,36.htm?experienceLevel=ONE_TO_THREE",ZS Associates Data Science Associate Salaries,1-3 Years,19 Salaries,19,"₹ 12,70,965","Additional Pay Average: ₹ 1,26,710","₹1,020K ₹2,245K","₹1,122K 25%","₹1,697K 75%"
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Science-Associate-Salaries-E115506_D_KO14,36.htm?experienceLevel=FOUR_TO_SIX",ZS Associates Data Scientist Salaries,4-6 Years,3 Salaries,3,"₹ 18,09,360 - ₹ 22,44,973","Additional Pay Average: ₹ 1,62,761",NA,NA,NA
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Science-Associate-Salaries-E115506_D_KO14,36.htm?experienceLevel=SEVEN_TO_NINE",ZS Associates Data Science Manager Salaries,7-9 Years,2 Salaries,2,"₹ 33,24,867 - ₹ 55,34,505","Additional Pay Average: ₹ 5,36,598",NA,NA,NA
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Science-Associate-Salaries-E115506_D_KO14,36.htm?experienceLevel=TEN_TO_FOURTEEN",ZS Associates Data Science Manager Salaries,10-14 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/ZS-Associates-Data-Science-Associate-Salaries-E115506_D_KO14,36.htm?experienceLevel=ABOVE_FIFTEEN",Data Science Associate Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Data-Scientist-Salaries-E1796553_D_KO17,31.htm?experienceLevel=LESS_THAN_ONE",Impact Analytics Data Scientist Salaries,0-1 Years,23 Salaries,23,"₹ 6,41,348","Additional Pay Average: ₹ 95,322",₹519K ₹868K,₹596K 25%,₹731K 75%
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Data-Scientist-Salaries-E1796553_D_KO17,31.htm?experienceLevel=ONE_TO_THREE",Impact Analytics Data Scientist Salaries,1-3 Years,13 Salaries,13,"₹ 7,16,283","Additional Pay Average: ₹ 94,745",₹519K ₹900K,₹614K 25%,₹784K 75%
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Data-Scientist-Salaries-E1796553_D_KO17,31.htm?experienceLevel=FOUR_TO_SIX",Impact Analytics Data Scientist Salaries,4-6 Years,2 Salaries,2,"₹ 8,08,040 - ₹ 13,08,239",NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Data-Scientist-Salaries-E1796553_D_KO17,31.htm?experienceLevel=SEVEN_TO_NINE",Data Scientist Salaries,7-9 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Data-Scientist-Salaries-E1796553_D_KO17,31.htm?experienceLevel=TEN_TO_FOURTEEN",Data Scientist Salaries,10-14 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Impact-Analytics-Data-Scientist-Salaries-E1796553_D_KO17,31.htm?experienceLevel=ABOVE_FIFTEEN",Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-Salaries-E1651_D_KO10,24.htm?experienceLevel=LESS_THAN_ONE",Microsoft Data Scientist Salaries,0-1 Years,12 Salaries,12,"₹ 13,34,393","Additional Pay Average: ₹ 2,90,649","₹196K ₹4,400K",NA,NA
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-Salaries-E1651_D_KO10,24.htm?experienceLevel=ONE_TO_THREE",Microsoft Data Scientist Salaries,1-3 Years,12 Salaries,12,"₹ 17,35,407","Additional Pay Average: ₹ 1,73,121","₹989K ₹2,071K","₹1,473K 25%","₹1,925K 75%"
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-Salaries-E1651_D_KO10,24.htm?experienceLevel=FOUR_TO_SIX",Microsoft Data Scientist Salaries,4-6 Years,5 Salaries,5,"₹ 18,50,043",Additional Pay Average: ₹ 12,"₹230K ₹2,500K",₹625K 25%,"₹2,336K 75%"
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-Salaries-E1651_D_KO10,24.htm?experienceLevel=SEVEN_TO_NINE",Microsoft Data Scientist Salaries,7-9 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-Salaries-E1651_D_KO10,24.htm?experienceLevel=TEN_TO_FOURTEEN",Microsoft Data Scientist II Salaries,10-14 Years,2 Salaries,2,"₹ 3,07,859 - ₹ 43,26,271","Additional Pay Average: ₹ 2,88,121",NA,NA,NA
"https://www.glassdoor.co.in/Salary/Microsoft-Data-Scientist-Salaries-E1651_D_KO10,24.htm?experienceLevel=ABOVE_FIFTEEN",Microsoft Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Wipro-Data-Scientist-Salaries-E9936_D_KO6,20.htm?experienceLevel=LESS_THAN_ONE",Wipro Data Scientist Salaries,0-1 Years,2 Salaries,2,"₹ 9,65,370 - ₹ 11,51,549","Additional Pay Average: ₹ 6,20,741",NA,NA,NA
"https://www.glassdoor.co.in/Salary/Wipro-Data-Scientist-Salaries-E9936_D_KO6,20.htm?experienceLevel=ONE_TO_THREE",Wipro Data Scientist Salaries,1-3 Years,11 Salaries,11,"₹ 8,01,685","Additional Pay Average: ₹ 4,18,274","₹357K ₹1,538K",₹432K 25%,"₹1,102K 75%"
"https://www.glassdoor.co.in/Salary/Wipro-Data-Scientist-Salaries-E9936_D_KO6,20.htm?experienceLevel=FOUR_TO_SIX",Wipro Data Scientist Salaries,4-6 Years,11 Salaries,11,"₹ 7,69,551","Additional Pay Average: ₹ 1,21,894","₹214K ₹1,585K",₹386K 25%,"₹1,050K 75%"
"https://www.glassdoor.co.in/Salary/Wipro-Data-Scientist-Salaries-E9936_D_KO6,20.htm?experienceLevel=SEVEN_TO_NINE",Wipro Data Scientist Salaries,7-9 Years,3 Salaries,3,"₹ 10,13,582 - ₹ 15,84,222","Additional Pay Average: ₹ 1,13,159",NA,NA,NA
"https://www.glassdoor.co.in/Salary/Wipro-Data-Scientist-Salaries-E9936_D_KO6,20.htm?experienceLevel=TEN_TO_FOURTEEN",Wipro Data Scientist Salaries,10-14 Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Wipro-Data-Scientist-Salaries-E9936_D_KO6,20.htm?experienceLevel=ABOVE_FIFTEEN",Data Scientist Salaries,15+ Years,NA,0,NA,NA,NA,NA,NA
"https://www.glassdoor.co.in/Salary/Jio-Data-Scientist-Salaries-E694833_D_KO4,18.htm?experienceLevel=LESS_THAN_ONE",Jio Data Scientist Salaries,0-1 Years,6 Salaries,6,"₹ 10,59,223","Additional Pay Average: ₹ 1,09,936","₹450K ₹1,759K",₹672K 25%,"₹1,415K 75%"
